,BaFe12O19,78_Permalloy,45_Permalloy,Hastelloy_C-276,SUS301,NH4_2Fe_SO4_2_xH2O,Fe3_PO4_2_8H2O,42_Invar,FeSe,Fe_OH_3,FeS2,Fe3N,FeSO4_7H2O,SUS304,FeF3_3H2O,Fe4N,LiFePO4,MnFe2O4,Fe_OH__CH3COO_2,Fe_C5H7O2,a-FeOOH,mu-metal,C32H16FeN8,HAVAR8,g-FeOOH,FeMoO4,CuFe2O4,SUS430,LaFeO3,SUS316L,FePO4,SUS631,Iron_chromium_10,FeCl2,Ca2Fe2O5,FeS,Iron_chromium_2,FeCl3,Fe_NO3_3_9H2O,Fe2_SO4_3_xH2O,a-Fe2O3,LiFeO2,Inconel_600,FeB,NH4_Fe_SO4_2_xH2O,FeBr2,FeBr3,FeSi2,ZnFe2O4,FeSO4,KOVAR,FeO_2,FeCl2_4H2O,MgFe2O4,Fe-foil,NiFe2O4,FeCl3_6H2O,Fe3P,Fe3O4,FeTiO3,FeWO4
0,-0.0017899718184905217,-0.0032466607353465104,-0.0020887065887334063,-0.004023770714694337,-0.0019478279610477048,-0.0025479341282117767,-0.0020890625709819827,-0.0019533382701791557,-0.0036052669354877673,-0.0026013256995082454,-0.0023271780943713376,-0.0027497739549659198,-0.0020523332542840543,-0.001978195638365271,-0.002266109962231396,-0.003177774533829105,-0.002325317005680305,-0.002326489844882231,-0.0021510740376285294,-0.0018652224789943446,-0.0023819655459237634,-0.002547893217623733,-0.0018609943252734702,-0.0025725416539893685,-0.0020656513649915114,-0.0018123818729196912,-0.0020427245585619923,-0.0019244623351351356,-0.002732840213056531,-0.0019126846684725577,-0.0018648018766389822,-0.0018818787243003376,-0.0018405125029657956,-0.002519830422715849,-0.0019096833182439816,-0.0029237627912665942,-0.0018691329204063305,-0.001953214584218594,-0.001634425767466107,-0.0019160544255081556,-0.002232279012114805,-0.002103200076947483,-0.0027379743213392094,-0.0023396009086961832,-0.001835307874365693,-0.0023490563858559847,-0.0021852076678528154,-0.0027516409077165092,-0.0020810292304250175,-0.0020894675973094543,-0.0018905603657750052,-0.0025464972180014693,-0.0021896574734638703,-0.002004660609615412,-0.0018143299582118614,-0.002146252815779366,-0.0018959783671364868,-0.002823117536844443,-0.0022982887160559145,-0.002333061620624515,-0.0017829936747248947
1,-0.0017849706564807809,-0.003240746682035566,-0.0020835683256420273,-0.004003491772316667,-0.0019444996216003753,-0.002546807898593835,-0.0020850922130095937,-0.0019494577632946397,-0.003594479121607869,-0.002587344753458466,-0.002322594025499129,-0.0027458554086904566,-0.0020468400652111918,-0.001974879063881015,-0.00225060613718156,-0.0031692527028801625,-0.0023202657353069123,-0.0023225901669746323,-0.002148446569764838,-0.0018604048886059277,-0.002375452605344049,-0.0025400477832870478,-0.001855704592969803,-0.0025684788112147238,-0.0020625104154632723,-0.001807901404922576,-0.002037085692336783,-0.0019214717797465758,-0.0027337114291595367,-0.0019095138609344518,-0.0018595108987975134,-0.001878517791951132,-0.0018375189631227695,-0.002514852748537301,-0.0019021264999533466,-0.0029173596747329583,-0.0018662482168487187,-0.0019486631058230766,-0.0016295050629833753,-0.0019076059192255097,-0.0022227668546788122,-0.002097673443181485,-0.002731260925618261,-0.0023341136418714883,-0.0018309311336836924,-0.002340137447337813,-0.0021763699326498537,-0.0027465841315488073,-0.0020774615758772704,-0.002083219167676977,-0.0018872510228095938,-0.0025416676626046947,-0.002183507085524109,-0.001994783114719602,-0.001811239969686626,-0.002142004876023816,-0.001890986981953633,-0.002813434433280346,-0.0022912177436086056,-0.002330204009010852,-0.0017738640442132832
2,-0.001779969494471131,-0.0032348326287247294,-0.0020784300625507415,-0.003983212829939365,-0.0019411712821531062,-0.002545681668975914,-0.002081121855037277,-0.0019455772564101945,-0.003583691307728167,-0.002573363807408941,-0.0023180099566270044,-0.002741936862415065,-0.0020413468761384295,-0.0019715624893968196,-0.0022351023121320057,-0.003160730871931375,-0.0023152144649336115,-0.002318690489067104,-0.0021458191019011947,-0.0018555872982175987,-0.0023689396647644523,-0.0025322023489505055,-0.001850414860666232,-0.0025644159684401527,-0.0020593694659350906,-0.001803420936925542,-0.002031446826111676,-0.0019184812243580702,-0.0027345826452625267,-0.0019063430533964036,-0.001854219920956141,-0.0018751568596019872,-0.0018345254232797978,-0.0025098750743588433,-0.001894569681662849,-0.002910956558199438,-0.0018633635132911594,-0.001944111627427642,-0.0016245843585007329,-0.0018991574129430177,-0.002213254697242993,-0.002092146809415587,-0.002724547529897435,-0.002328626375046893,-0.0018265543930017715,-0.0023312185088198035,-0.0021675321974470524,-0.002741527355381197,-0.0020738939213295884,-0.002076970738044614,-0.0018839416798442424,-0.0025368381072080077,-0.0021773566975844595,-0.001984905619823971,-0.0018081499811614468,-0.002137756936268343,-0.0018859955967708705,-0.0028037513297164258,-0.002284146771161425,-0.0023273463973972415,-0.0017647344137018376
3,-0.0017749683324613905,-0.003228918575413785,-0.0020732917994593625,-0.003962933887561695,-0.0019378429427057767,-0.0025445554393579723,-0.002077151497064888,-0.0019416967495256784,-0.003572903493848269,-0.0025593828613591613,-0.002313425887754796,-0.002738018316139602,-0.002035853687065567,-0.0019682459149125637,-0.0022195984870821694,-0.0031522090409824323,-0.0023101631945602187,-0.002314790811159505,-0.0021431916340375035,-0.0018507697078291821,-0.0023624267241847373,-0.0025243569146138206,-0.0018451251283625647,-0.002560353125665508,-0.0020562285164068515,-0.0017989404689284266,-0.002025807959886467,-0.0019154906689695104,-0.002735453861365533,-0.001903172245858298,-0.0018489289431146722,-0.0018717959272527816,-0.0018315318834367716,-0.002504897400180295,-0.001887012863372214,-0.002904553441665802,-0.0018604788097335476,-0.0019395601490321246,-0.0016196636540180011,-0.0018907089066603718,-0.002203742539807,-0.002086620175649589,-0.0027178341341764865,-0.0023231391082221982,-0.0018221776523197708,-0.0023222995703016318,-0.0021586944622440907,-0.002736470579213495,-0.0020703262667818418,-0.0020707223084121375,-0.0018806323368788307,-0.002532008551811233,-0.002171206309644698,-0.0019750281249281605,-0.0018050599926362114,-0.0021335089965127925,-0.0018810042115880168,-0.002794068226152329,-0.0022770757987141165,-0.0023244887857835793,-0.0017556047831902258
4,-0.0017699671704516497,-0.003223004522102841,-0.0020681535363679835,-0.003942654945184025,-0.0019345146032584471,-0.0025434292097400307,-0.0020731811390924996,-0.0019378162426411626,-0.0035621156799683705,-0.0025454019153093818,-0.002308841818882588,-0.002734099769864139,-0.0020303604979927045,-0.0019649293404283077,-0.0022040946620323332,-0.0031436872100334898,-0.002305111924186826,-0.0023108911332519063,-0.0021405641661738123,-0.0018459521174407653,-0.0023559137836050223,-0.0025165114802771353,-0.0018398353960588974,-0.0025562902828908628,-0.002053087566878613,-0.0017944600009313113,-0.0020201690936612576,-0.0019125001135809503,-0.002736325077468539,-0.0019000014383201921,-0.0018436379652732033,-0.0018684349949035757,-0.0018285383435937455,-0.0024999197260017463,-0.001879456045081579,-0.002898150325132166,-0.0018575941061759356,-0.0019350086706366072,-0.0016147429495352692,-0.0018822604003777262,-0.0021942303823710074,-0.0020810935418835905,-0.002711120738455538,-0.0023176518413975033,-0.0018178009116377703,-0.00231338063178346,-0.002149856727041129,-0.002731413803045793,-0.0020667586122340947,-0.0020644738787796604,-0.001877322993913419,-0.0025271789964144585,-0.0021650559217049367,-0.00196515063003235,-0.001801970004110976,-0.0021292610567572425,-0.0018760128264051633,-0.002784385122588232,-0.0022700048262668075,-0.0023216311741699166,-0.001746475152678614
5,-0.001764966008441909,-0.003217090468791897,-0.002063015273276604,-0.003922376002806355,-0.0019311862638111178,-0.002542302980122089,-0.0020692107811201106,-0.0019339357357566465,-0.003551327866088472,-0.002531420969259602,-0.0023042577500103794,-0.002730181223588676,-0.002024867308919842,-0.001961612765944052,-0.002188590836982497,-0.0031351653790845473,-0.002300060653813433,-0.0023069914553443074,-0.002137936698310121,-0.0018411345270523487,-0.0023494008430253073,-0.0025086660459404503,-0.0018345456637552302,-0.002552227440116218,-0.002049946617350374,-0.001789979532934196,-0.002014530227436048,-0.0019095095581923905,-0.0027371962935715446,-0.0018968306307820862,-0.0018383469874317345,-0.0018650740625543699,-0.0018255448037507193,-0.002494942051823198,-0.0018718992267909439,-0.0028917472085985296,-0.0018547094026183238,-0.0019304571922410898,-0.0016098222450525374,-0.0018738118940950805,-0.002184718224935015,-0.0020755669081175925,-0.0027044073427345897,-0.0023121645745728084,-0.0018134241709557696,-0.0023044616932652888,-0.002141018991838167,-0.0027263570268780905,-0.002063190957686348,-0.0020582254491471838,-0.0018740136509480076,-0.002522349441017684,-0.0021589055337651753,-0.0019552731351365395,-0.0017988800155857407,-0.0021250131170016924,-0.0018710214412223096,-0.002774702019024135,-0.0022629338538194986,-0.002318773562556254,-0.0017373455221670023
6,-0.0017599648464321682,-0.0032111764154809526,-0.002057877010185225,-0.0039020970604286844,-0.0019278579243637883,-0.0025411767505041476,-0.0020652404231477216,-0.0019300552288721306,-0.003540540052208574,-0.0025174400232098226,-0.002299673681138171,-0.002726262677313213,-0.0020193741198469796,-0.001958296191459796,-0.002173087011932661,-0.0031266435481356047,-0.0022950093834400403,-0.0023030917774367085,-0.00213530923044643,-0.001836316936663932,-0.0023428879024455923,-0.0025008206116037654,-0.001829255931451563,-0.0025481645973415732,-0.002046805667822135,-0.0017854990649370807,-0.0020088913612108386,-0.0019065190028038307,-0.0027380675096745507,-0.0018936598232439804,-0.0018330560095902657,-0.0018617131302051642,-0.001822551263907693,-0.00248996437764465,-0.0018643424085003088,-0.0028853440920648932,-0.001851824699060712,-0.0019259057138455724,-0.0016049015405698057,-0.0018653633878124348,-0.0021752060674990223,-0.002070040274351594,-0.0026976939470136413,-0.0023066773077481135,-0.0018090474302737691,-0.002295542754747117,-0.002132181256635205,-0.0027213002507103885,-0.002059623303138601,-0.0020519770195147067,-0.001870704307982596,-0.0025175198856209093,-0.002152755145825414,-0.0019453956402407289,-0.0017957900270605051,-0.0021207651772461424,-0.0018660300560394561,-0.0027650189154600387,-0.0022558628813721896,-0.002315915950942591,-0.0017282158916553908
7,-0.0017549636844225185,-0.003205262362170116,-0.00205273874709394,-0.003881818118051383,-0.0019245295849165192,-0.0025400505208862264,-0.002061270065175405,-0.0019261747219876852,-0.0035297522383288715,-0.0025034590771602977,-0.002295089612266046,-0.0027223441310378215,-0.002013880930774217,-0.0019549796169756003,-0.0021575831868831065,-0.003118121717186817,-0.0022899581130667395,-0.0022991920995291803,-0.0021326817625827864,-0.001831499346275603,-0.0023363749618659957,-0.0024929751772672227,-0.0018239661991479917,-0.002544101754567002,-0.002043664718293953,-0.001781018596940047,-0.002003252494985732,-0.001903528447415325,-0.0027389387257775407,-0.0018904890157059322,-0.0018277650317488933,-0.0018583521978560195,-0.0018195577240647215,-0.002484986703466192,-0.0018567855902098113,-0.0028789409755313735,-0.0018489399955031527,-0.0019213542354501378,-0.0015999808360871632,-0.0018569148815299427,-0.0021656939100632025,-0.0020645136405856965,-0.002690980551292815,-0.0023011900409235183,-0.001804670689591848,-0.0022866238162291075,-0.002123343521432404,-0.0027162434745427785,-0.002056055648590919,-0.0020457285898823436,-0.0018673949650172446,-0.0025126903302242222,-0.0021466047578857644,-0.001935518145345098,-0.0017927000385353261,-0.0021165172374906695,-0.0018610386708566933,-0.002755335811896118,-0.002248791908925009,-0.0023130583393289805,-0.001719086261143945
8,-0.0017499625224127778,-0.0031993483088591716,-0.0020476004840025604,-0.0038615391756737128,-0.0019212012454691897,-0.002538924291268285,-0.002057299707203016,-0.0019222942151031694,-0.0035189644244489732,-0.002489478131110518,-0.0022905055433938377,-0.0027184255847623583,-0.0020083877417013543,-0.0019516630424913444,-0.0021420793618332702,-0.0031095998862378745,-0.0022849068426933467,-0.0022952924216215814,-0.002130054294719095,-0.001826681755887186,-0.0023298620212862807,-0.002485129742930538,-0.0018186764668443245,-0.0025400389117923574,-0.0020405237687657145,-0.0017765381289429317,-0.0019976136287605225,-0.0019005378920267653,-0.0027398099418805464,-0.0018873182081678263,-0.0018224740539074245,-0.0018549912655068139,-0.0018165641842216953,-0.002480009029287644,-0.0018492287719191762,-0.002872537858997737,-0.0018460552919455408,-0.0019168027570546204,-0.0015950601316044315,-0.001848466375247297,-0.00215618175262721,-0.0020589870068196984,-0.0026842671555718668,-0.0022957027740988234,-0.0018002939489098475,-0.002277704877710936,-0.0021145057862294423,-0.002711186698375076,-0.0020524879940431724,-0.002039480160249867,-0.001864085622051833,-0.0025078607748274476,-0.002140454369946003,-0.0019256406504492875,-0.0017896100500100908,-0.002112269297735119,-0.0018560472856738398,-0.002745652708332021,-0.0022417209364777,-0.0023102007277153182,-0.0017099566306323334
9,-0.001744961360403037,-0.0031934342555482273,-0.0020424622209111814,-0.0038412602332960426,-0.0019178729060218601,-0.002537798061650343,-0.0020533293492306275,-0.0019184137082186533,-0.0035081766105690753,-0.0024754971850607385,-0.0022859214745216292,-0.0027145070384868956,-0.002002894552628492,-0.0019483464680070885,-0.002126575536783434,-0.003101078055288932,-0.002279855572319954,-0.0022913927437139825,-0.002127426826855404,-0.0018218641654987695,-0.0023233490807065657,-0.002477284308593853,-0.0018133867345406572,-0.0025359760690177127,-0.0020373828192374755,-0.0017720576609458164,-0.001991974762535313,-0.0018975473366382052,-0.0027406811579835525,-0.0018841474006297204,-0.0018171830760659556,-0.001851630333157608,-0.001813570644378669,-0.0024750313551090957,-0.0018416719536285414,-0.002866134742464101,-0.001843170588387929,-0.0019122512786591027,-0.0015901394271216997,-0.0018400178689646513,-0.0021466695951912174,-0.0020534603730537,-0.0026775537598509183,-0.0022902155072741285,-0.001795917208227847,-0.002268785939192764,-0.0021056680510264806,-0.002706129922207374,-0.0020489203394954253,-0.00203323173061739,-0.0018607762790864215,-0.002503031219430673,-0.0021343039820062417,-0.0019157631555534768,-0.0017865200614848552,-0.002108021357979569,-0.0018510559004909864,-0.0027359696047679245,-0.002234649964030391,-0.0023073431161016555,-0.0017008270001207218
